"Chiffres clés     -     Caractéristiques des établissements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arrondissements municipaux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mise en ligne le 29/09/2015       Découpage géographique au 01/01/2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"©Insee       Sources : Insee, Clap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODGEO","Libellé commune ou ARM","Région","Région 2016","Département","Total Ets actifs au 31/12/2013","Ets actifs agriculture au 31/12/2013","Ets actifs industrie au 31/12/2013","Ets actifs construction au 31/12/2013","Ets actifs commerce services au 31/12/2013","dont Ets actifs commerce rep auto au 31/12/2013","Ets actifs adm publique au 31/12/2013","Ets actifs sans salarié au 31/12/2013","Ets actifs agriculture sans salarié au 31/12/2013","Ets actifs industrie sans salarié au 31/12/2013","Ets actifs construction sans salarié au 31/12/2013","Ets actifs commerce services sans salarié au 31/12/2013","dont Ets actifs commerce rep auto sans salarié au 31/12/2013","Ets actifs adm publique sans salarié au 31/12/2013","Ets actifs de 1 à 9 salariés au 31/12/2013","Ets actifs agriculture 1 à 9 salariés au 31/12/2013","Ets actifs industrie 1 à 9 salariés au 31/12/2013","Ets actifs construction 1 à 9 sal au 31/12/2013","Ets actifs commerce services 1 à 9 salariés au 31/12/2013","dont Ets actifs commerce rep auto 1 à 9 salariés au 31/12/2013","Ets actifs adm publique 1 à 9 salariés au 31/12/2013","Ets actifs de 10 à 19 salariés au 31/12/2013","Ets actifs agriculture 10 à 19 sal au 31/12/2013","Ets actifs industrie 10 à 19 sal au 31/12/2013","Ets actifs construction 10 à 19 sal au 31/12/2013","Ets actifs commerce services 10 à 19 salariés au 31/12/2013","dont Ets actifs commerce rep auto 10 à 19 salariés au 31/12/2013","Ets actifs adm publique 10 à 19 salariés au 31/12/2013","Ets actifs de 20 à 49 salariés au 31/12/2013","Ets actifs agriculture 20 à 49 sal au 31/12/2013","Ets actifs industrie 20 à 49 sal au 31/12/2013","Ets actifs construction 20 à 49 sal au 31/12/2013","Ets actifs commerce services 20 à 49 salariés au 31/12/2013","dont Ets actifs commerce rep auto 20 à 49 salariés au 31/12/2013","Ets actifs adm publique 20 à 49 salariés au 31/12/2013","Ets actifs de 50 salariés ou plus au 31/12/2013","Ets actifs agriculture 50 sal ou plus au 31/12/2013","Ets actifs industrie 50 sal ou plus au 31/12/2013","Ets actifs construction 50 sal ou + au 31/12/2013","Ets actifs commerce services 50 sal ou plus au 31/12/2013","dont Ets actifs commerce 50 rep auto sal ou plus au 31/12/2013","Ets actifs adm publique 50 sal ou plus au 31/12/2013","Postes des Ets actifs au 31/12/2013","Postes des Ets actifs agriculture au 31/12/2013","Postes des Ets actifs de l'industrie au 31/12/2013","Postes des Ets actifs de la construction au 31/12/2013","Postes des Ets actifs du commerce services au 31/12/2013","dont Postes des Ets actifs du commerce rep auto au 31/12/2013","Postes des Ets actifs adm publique au 31/12/2013","Postes des Ets actifs de 1 à 9 salariés au 31/12/2013","Postes des Ets actifs agriculture 1 à 9 salariés au 31/12/2013","Postes des Ets actifs industrie 1 à 9 salariés au 31/12/2013","Postes des Ets actifs construction 1 à 9 sal au 31/12/2013","Postes des Ets actifs commerce services 1 à 9 sal au 31/12/2013","dont Postes des Ets actifs commerce rep auto 1 à 9 salariés au 31/12/2013","Postes des Ets actifs adm publique 1 à 9 salariés au 31/12/2013","Postes des Ets actifs de 10 à 19 salariés au 31/12/2013","Postes des Ets actifs agriculture 10 à 19 salariés au 31/12/2013","Postes des Ets actifs industrie 10 à 19 sal au 31/12/2013","Postes des Ets actifs construction 10 à 19 sal au 31/12/2013","Postes des Ets actifs commerce services 10 à 19 salariés au 31/12/2013","dont Postes des Ets actifs commerce rep auto 10 à 19 salariés au 31/12/2013","Postes des Ets actifs adm publique 10 à 19 sal au 31/12/2013","Postes des Ets actifs de 20 à 49 salariés au 31/12/2013","Postes des Ets actifs agriculture 20 à 49 salariés au 31/12/2013","Postes des Ets actifs industrie 20 à 49 sal au 31/12/2013","Postes des Ets actifs construction 20 à 49 sal au 31/12/2013","Postes des Ets actifs commerce services 20 à 49 salariés au 31/12/2013","dont Postes des Ets actifs commerce rep auto 20 à 49 salariés au 31/12/2013","Postes des Ets actifs adm publique 20 à 49 sal au 31/12/2013","Postes des Ets actifs de 50 à 99 salariés au 31/12/2013","Postes des Ets actifs agriculture 50 à 99 salariés au 31/12/2013","Postes des Ets actifs industrie 50 à 99 sal au 31/12/2013","Postes des Ets actifs construction 50 à 99 sal au 31/12/2013","Postes des Ets actifs commerce services 50 à 99 sal au 31/12/2013","dont Postes des Ets actifs commerce rep auto 50 à 99 sal au 31/12/2013","Postes des Ets actifs adm publique 50 à 99 sal au 31/12/2013","Postes des Ets actifs de 100 salariés ou plus au 31/12/2013","Postes des Ets actifs agriculture 100 sal ou + au 31/12/2013","Postes des Ets actifs industrie 100 sal ou + au 31/12/2013","Postes des Ets actifs construction 100 sal ou + au 31/12/2013","Postes des Ets actifs commerce services 100 sal ou + au 31/12/2013","dont Postes des Ets actifs commerce rep auto 100 sal ou + au 31/12/2013","Postes des Ets actifs adm publique 100 sal ou + au 31/12/2013","Ets actifs sphère présentielle au 31/12/2013","Ets actifs sphère productive au 31/12/2013","Ets actifs sphère présentielle public au 31/12/2013","Ets actifs sphère productive public au 31/12/2013","Postes Ets actifs sphère présentielle au 31/12/2013","Postes Ets actifs sphère productive au 31/12/2013","Postes Ets actifs sphère présentielle public au 31/12/2013","Postes Ets actifs sphère productive public au 31/12/2013"
"CODGEO","LIBGEO","REG","REG2016","DEP","ETTOT13","ETAZ13","ETBE13","ETFZ13","ETGU13","ETGZ13","ETOQ13","ETTEF013","ETAZ013","ETBE013","ETFZ013","ETGU013","ETGZ013","ETOQ013","ETTEF113","ETAZ113","ETBE113","ETFZ113","ETGU113","ETGZ113","ETOQ113","ETTEF1013","ETAZ1013","ETBE1013","ETFZ1013","ETGU1013","ETGZ1013","ETOQ1013","ETTEF2013","ETAZ2013","ETBE2013","ETFZ2013","ETGU2013","ETGZ2013","ETOQ2013","ETTEF5013","ETAZ5013","ETBE5013","ETFZ5013","ETGU5013","ETGZ5013","ETOQ5013","ETPTOT13","ETPAZ13","ETPBE13","ETPFZ13","ETPGU13","ETPGZ13","ETPOQ13","ETPTEF113","ETPAZ113","ETPBE113","ETPFZ113","ETPGU113","ETPGZ113","ETPOQ113","ETPTEF1013","ETPAZ1013","ETPBE1013","ETPFZ1013","ETPGU1013","ETPGZ1013","ETPOQ1013","ETPTEF2013","ETPAZ2013","ETPBE2013","ETPFZ2013","ETPGU2013","ETPGZ2013","ETPOQ2013","ETPTEF5013","ETPAZ5013","ETPBE5013","ETPFZ5013","ETPGU5013","ETPGZ5013","ETPOQ5013","ETPTEFCP13","ETPAZCP13","ETPBECP13","ETPFZCP13","ETPGUCP13","ETPGZCP13","ETPOQCP13","ETPRES13","ETNPRES13","ETPRESPUB13","ETNPRESPUB13","ETPPRES13","ETPNPRES13","ETPPRESPUB13","ETPNPRESPUB13"
"13201","Marseille 1er Arrondissement","93","93","13","8711","3","330","509","7072","2077","797","5736","3","231","383","4531","1111","588","2614","0","88","119","2268","906","139","206","0","10","6","162","41","28","106","0","1","0","77","14","28","49","0","0","1","34","5","14","21225","0","406","501","16948","4435","3370","7389","0","260","348","6392","2647","389","2714","0","122","79","2126","528","387","3241","0","24","0","2325","411","892","1919","0","0","74","1207","164","638","5962","0","0","0","4898","685","1064","5623","3088","66","0","17569","3656","2043","0"
"13202","Marseille 2e Arrondissement","93","93","13","3793","0","131","283","2964","674","415","2520","0","78","214","1938","461","290","964","0","45","53","806","193","60","136","0","6","7","100","11","23","83","0","0","4","59","5","20","90","0","2","5","61","4","22","44836","0","358","651","18681","1105","25146","2942","0","160","142","2450","528","190","1917","0","70","98","1402","132","347","2486","0","0","106","1757","159","623","3180","0","128","305","2089","286","658","34311","0","0","0","10983","0","23328","2333","1460","79","3","33215","11621","24166","1157"
"13203","Marseille 3e Arrondissement","93","93","13","2983","2","114","392","2091","704","384","2083","2","56","315","1456","492","254","730","0","54","74","554","194","48","76","0","3","0","39","12","34","56","0","0","1","27","5","28","38","0","1","2","15","1","20","14239","0","326","389","7732","923","5792","2043","0","183","193","1524","553","143","1016","0","44","0","509","151","463","1599","0","0","40","776","167","783","1389","0","99","52","490","52","748","8192","0","0","104","4433","0","3655","2232","751","92","4","12964","1275","4118","3"
"13204","Marseille 4e Arrondissement","93","93","13","4192","4","159","455","2762","737","812","3204","3","106","342","2118","526","635","862","1","50","102","605","200","104","57","0","2","8","20","5","27","47","0","1","3","13","5","30","22","0","0","0","6","1","16","7107","1","239","448","3627","889","2792","2343","1","170","278","1623","599","271","768","0","27","100","257","67","384","1391","0","42","70","344","147","935","1182","0","0","0","252","76","930","1423","0","0","0","1151","0","272","2938","1254","49","1","6361","746","784","0"
"13205","Marseille 5e Arrondissement","93","93","13","4082","3","204","419","2608","556","848","3223","3","144","304","2065","408","707","731","0","54","111","489","137","77","65","0","5","2","29","5","29","38","0","1","2","17","4","18","25","0","0","0","8","2","17","22984","0","274","389","2978","721","19343","1981","0","180","310","1272","409","219","898","0","67","27","366","61","438","1217","0","27","52","544","138","594","621","0","0","0","354","113","267","18267","0","0","0","442","0","17825","2830","1252","74","5","21843","1141","16731","53"
"13206","Marseille 6e Arrondissement","93","93","13","9596","7","315","493","7416","1522","1365","6923","6","221","368","5261","945","1067","2282","1","84","121","1887","537","189","195","0","7","4","155","28","29","124","0","1","0","80","10","43","72","0","2","0","33","2","37","23852","1","1307","376","14363","2367","7805","6243","1","291","316","5157","1487","478","2633","0","100","60","2047","384","426","3817","0","24","0","2509","325","1284","2759","0","60","0","1050","67","1649","8400","0","832","0","3600","104","3968","5656","3940","82","0","18792","5060","4618","0"
"13207","Marseille 7e Arrondissement","93","93","13","4187","10","168","252","3105","608","652","3276","10","124","199","2403","429","540","784","0","39","50","633","173","62","60","0","3","3","34","3","20","36","0","1","0","21","1","14","31","0","1","0","14","2","16","9913","0","449","179","5255","659","4030","2018","0","107","140","1598","440","173","808","0","42","39","435","32","292","1073","0","41","0","610","23","422","1227","0","0","0","575","164","652","4787","0","259","0","2037","0","2491","2510","1677","57","3","7312","2601","2319","0"
"13208","Marseille 8e Arrondissement","93","93","13","10121","16","287","633","6932","1358","2253","7252","15","188","505","4777","870","1767","2361","0","68","119","1862","442","312","256","1","20","5","167","26","63","146","0","5","4","80","14","57","106","0","6","0","46","6","54","33440","11","1371","516","20324","3389","11218","6682","0","212","339","5337","1331","794","3434","11","254","70","2169","339","930","4399","0","162","107","2390","440","1740","4052","0","163","0","1531","99","2358","14873","0","580","0","8897","1180","5396","6284","3837","145","0","25773","7667","4474","0"
"13209","Marseille 9e Arrondissement","93","93","13","5426","10","181","455","3497","804","1283","4117","9","126","368","2590","588","1024","1033","1","41","76","785","196","130","123","0","6","4","59","11","54","75","0","3","4","34","5","34","78","0","5","3","29","4","41","26106","1","2184","1388","10285","1356","12248","2904","1","158","202","2163","584","380","1758","0","85","50","826","150","797","2336","0","109","129","1043","148","1055","2549","0","89","0","952","225","1508","16559","0","1743","1007","5301","249","8508","3595","1831","100","12","18057","8049","4085","2795"
"13210","Marseille 10e Arrondissement","93","93","13","3837","5","137","464","2391","713","840","2835","5","72","356","1717","454","685","782","0","49","90","566","210","77","108","0","4","8","58","26","38","58","0","10","4","26","15","18","54","0","2","6","24","8","22","12670","0","770","1325","6104","2600","4471","2202","0","174","257","1567","706","204","1492","0","54","116","763","343","559","1778","0","331","130","771","430","546","1851","0","51","51","897","351","852","5347","0","160","771","2106","770","2310","2691","1146","62","0","9634","3036","2413","0"
"13211","Marseille 11e Arrondissement","93","93","13","4616","22","204","647","2960","943","783","3190","19","111","447","1991","520","622","1083","3","60","172","772","330","76","178","0","16","15","110","59","37","111","0","12","11","65","23","23","54","0","5","2","22","11","25","15914","3","1536","1254","8950","4070","4171","3503","3","217","513","2523","1257","247","2367","0","212","207","1407","744","541","3408","0","375","316","1952","707","765","2027","0","124","0","663","340","1240","4609","0","608","218","2405","1022","1378","3098","1518","62","0","10908","5006","1739","0"
"13212","Marseille 12e Arrondissement","93","93","13","4787","11","180","481","2995","775","1120","3589","7","109","358","2223","504","892","997","4","58","108","688","240","139","107","0","8","9","53","20","37","44","0","3","4","16","5","21","50","0","2","2","15","6","31","11823","14","524","716","5154","1673","5415","2814","14","210","306","1883","731","401","1441","0","96","116","679","275","550","1278","0","84","134","433","151","627","1943","0","134","57","464","274","1288","4347","0","0","103","1695","242","2549","3216","1571","76","1","9669","2154","2305","0"
"13213","Marseille 13e Arrondissement","93","93","13","5160","18","215","696","3155","857","1076","3905","17","133","529","2405","643","821","979","1","68","150","650","190","110","135","0","7","10","48","14","70","76","0","3","6","33","7","34","65","0","4","1","19","3","41","20330","1","766","805","6618","1269","12140","2797","1","221","375","1915","592","285","1889","0","96","125","628","182","1040","2347","0","88","203","1006","203","1050","2599","0","212","0","641","163","1746","10698","0","149","102","2428","129","8019","3626","1534","127","9","17152","3178","9307","42"
"13214","Marseille 14e Arrondissement","93","93","13","4177","8","198","604","2527","849","840","2729","7","94","362","1618","484","648","1111","1","73","207","732","296","98","154","0","10","26","82","35","36","129","0","13","9","71","26","36","54","0","8","0","24","8","22","17819","1","2278","1247","8226","3415","6067","3430","1","265","652","2198","1058","314","2162","0","132","364","1139","447","527","3946","0","442","231","2150","769","1123","2129","0","211","0","945","219","973","6152","0","1228","0","1794","922","3130","2702","1475","80","0","10842","6977","3306","0"
"13215","Marseille 15e Arrondissement","93","93","13","5469","13","285","900","3408","1172","863","3697","13","130","629","2283","731","642","1412","0","115","241","945","389","111","197","0","22","13","109","38","53","95","0","5","12","45","10","33","68","0","13","5","26","4","24","22679","0","2810","2047","8606","2496","9216","4152","0","410","672","2726","1190","344","2709","0","301","157","1445","488","806","2736","0","178","357","1321","296","880","2799","0","418","92","1250","218","1039","10283","0","1503","769","1864","304","6147","3623","1846","125","3","15047","7632","7813","18"
"13216","Marseille 16e Arrondissement","93","93","13","3092","15","130","400","2149","527","398","1994","14","66","259","1351","327","304","825","1","41","107","623","166","53","143","0","12","18","96","23","17","83","0","6","11","53","8","13","47","0","5","5","26","3","11","12715","3","823","1497","8698","1791","1694","2639","3","140","318","2024","572","154","1989","0","165","240","1318","320","266","2561","0","187","338","1680","250","356","2037","0","331","242","836","51","628","3489","0","0","359","2840","598","290","1623","1469","30","1","6113","6602","746","2"
